ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"276266","Test Case","270737-AC1: GPS Input and Mapping / Tools Menu / Set Coordinates Tool Availability",,,,"Env\ENV Kanda","Gulzhas Mailybayeva <gulzhas.mailybayeva@kandasoft.com>","Ready"
,,,"1","PRE-REQ: ENV QuickDraw application is installed",,,,
,,,"2","Launch the ENV QuickDraw application.","Model space(Gray) and Canvas(white) space should be displayed.",,,
,,,"3","From the Home screen, select 'New File', press 'Create', select a save location, and press 'Save'.","A new blank drawing opens and is displayed on the Canvas.",,,
,,,"4","Draw a simple shape (e.g., rectangle) on the Canvas and select it.","The shape is created and selected with selection handles visible.",,,
,,,"5","Open the Tools dropdown in the top menu.
","The Set Coordinates tool is visible and enabled for the selected object.",,,
,,,"6","Select Set Coordinates.","The Set Coordinates dialog opens displaying Latitude and Longitude labels, Apply and Cancel buttons, and input fields.",,,
,,,"7","Close the dialog.","The dialog closes without changes.",,,
,,,"8","Close the QuickDraw application.",,,,
"276267","Test Case","270737-005: GPS Input and Mapping / Tools Menu / Set Coordinates Dialog Access For Point",,,,"Env\ENV Kanda","Gulzhas Mailybayeva <gulzhas.mailybayeva@kandasoft.com>","Ready"
,,,"1","PRE-REQ: ENV QuickDraw application is installed",,,,
,,,"2","Launch the ENV QuickDraw application","Model space(Gray) and Canvas(white) space should be displayed",,,
,,,"3","From the Home screen, select 'New File', press 'Create', select a save location, and press 'Save'.","A new blank drawing opens and is displayed on the Canvas.",,,
,,,"4","Draw a point on the Canvas and select it.","The point is created and selected.",,,
,,,"5","Open the Tools dropdown.","The Tools menu opens.",,,
,,,"6","Select Set Coordinates.","The Set Coordinates dialog opens for the selected point.",,,
,,,"7","Observe the dialog contents.","Latitude and Longitude labels and input fields are visible, along with Apply and Cancel buttons.",,,
,,,"8","Close the Set Coordinates dialog.","The dialog closes successfully.",,,
,,,"9","Close QuickDraw application",,,,
"276268","Test Case","270737-010: GPS Input and Mapping / Tools Menu / Set Coordinates Dialog Access For Line",,,,"Env\ENV Kanda","Gulzhas Mailybayeva <gulzhas.mailybayeva@kandasoft.com>","Ready"
,,,"1","PRE-REQ: ENV QuickDraw application is installed",,,,
,,,"2","Launch the ENV QuickDraw application","Model space(Gray) and Canvas(white) space should be displayed",,,
,,,"3","From the Home screen, select 'New File', press 'Create', select a save location, and press 'Save'.","A new blank drawing opens and is displayed on the Canvas.",,,
,,,"4","Draw a line on the Canvas and select it.","The line is created and selected.",,,
,,,"5","Open the Tools dropdown.","The Tools menu opens.",,,
,,,"6","Select Set Coordinates.","The Set Coordinates dialog opens for the selected line.",,,
,,,"7","Observe the dialog contents.","Latitude and Longitude labels and input fields are visible, along with Apply and Cancel buttons.",,,
,,,"8","Close the Set Coordinates dialog.","The dialog closes successfully.",,,
,,,"9","Close QuickDraw application",,,,
"276269","Test Case","270737-015: GPS Input and Mapping / Tools Menu / Set Coordinates Dialog Access For Object",,,,"Env\ENV Kanda","Gulzhas Mailybayeva <gulzhas.mailybayeva@kandasoft.com>","Ready"
,,,"1","PRE-REQ: ENV QuickDraw application is installed",,,,
,,,"2","Launch the ENV QuickDraw application","Model space(Gray) and Canvas(white) space should be displayed",,,
,,,"3","From the Home screen, select 'New File', press 'Create', select a save location, and press 'Save'.","A new blank drawing opens and is displayed on the Canvas.",,,
,,,"4","Draw a simple shape (e.g., rectangle or triangle) on the Canvas","The shape is created and displayed on the Canvas.",,,
,,,"5","Open the Tools dropdown.","The Tools menu opens.",,,
,,,"6","Select Set Coordinates.","The Set Coordinates dialog opens for the selected object.",,,
,,,"7","Observe the dialog contents.","Latitude and Longitude labels and input fields are visible, along with Apply and Cancel buttons.",,,
,,,"8","Close the Set Coordinates dialog.","The dialog closes successfully.",,,
,,,"9","Close QuickDraw application",,,,
"276272","Test Case","270737-020: GPS Input and Mapping / Coordinate Entry / Apply Valid Signed Decimal Coordinates",,,,"Env\ENV Kanda","Gulzhas Mailybayeva <gulzhas.mailybayeva@kandasoft.com>","Ready"
,,,"1","PRE-REQ: ENV QuickDraw application is installed",,,,
,,,"2","Launch the ENV QuickDraw application","Model space(Gray) and Canvas(white) space should be displayed",,,
,,,"3","From the Home screen, select 'New File', press 'Create', select a save location, and press 'Save'.","A new blank drawing opens and is displayed on the Canvas.",,,
,,,"4","Draw a simple shape (e.g., rectangle or triangle) on the Canvas","The shape is created and displayed on the Canvas.",,,
,,,"5","Select the drawn object","Selection handles appear around the selected object.",,,
,,,"6","Open Tools Menu and select Set Coordinates.","The Set Coordinates dialog opens.",,,
,,,"7","Enter a valid positive Latitude value in decimal format (e.g., 48.12345). ","The Latitude value is accepted.",,,
,,,"8","Enter a valid negative Longitude value in decimal format (e.g., -123.98765).","The Longitude value is accepted.",,,
,,,"9","Select Apply","Coordinates are accepted without validation errors and applied to the selected object.",,,
,,,"10","Reopen Tools > Set Coordinates for the same object.","The dialog opens displaying the current coordinate values.",,,
,,,"11","Enter a Longitude value outside -180 to 180","The invalid Longitude value is entered.",,,
,,,"12","Select Apply","Longitude field is flagged as invalid; coordinates are not applied",,,
,,,"13","Close the Set Coordinates dialog.",,,,
,,,"14","Close QuickDraw application",,,,
"276273","Test Case","270737-025: GPS Input and Mapping / Validation / Reject Empty Required Fields",,,,"Env\ENV Kanda","Gulzhas Mailybayeva <gulzhas.mailybayeva@kandasoft.com>","Ready"
,,,"1","PRE-REQ: ENV QuickDraw application is installed",,,,
,,,"2","Launch the ENV QuickDraw application","Model space(Gray) and Canvas(white) space should be displayed",,,
